model_target,arch_target,surrogate_type,surrogate_archs,surrogate_size_ensembles,norm_type,norm_max,norm_step,n_iter,n_ensemble,n_random_init,momentum,shuffle,ghost,input_diversity,translation_invariant,adv_fail_rate,adv_sucess_rate,adv_norm_mean,adv_norm_min,adv_norm_max,limit_samples_cycle,limit_cycles,surrogate_acc_original_ex,surrogate_acc_adv_ex,target_acc_original_ex,acc_original_ex,nb_adv,time
models_target/CIFAR10/PreResNet110/single_model/model_Adam_bs128_lr0.01_lrd75_psig100.0_ep250_seed1.pth,PreResNet110,dnn,PreResNet110,1,inf,0.01568,0.001568,50,1,0,,True,False,False,False,0.2204,0.7796,0.015680013224482536,0.01568000018596649,0.015680015087127686,,1,0.9712,0.0,0.9313,0.9712,10000,405.25847422890365
models_target/CIFAR10/PreResNet110/single_model/model_Adam_bs128_lr0.01_lrd75_psig100.0_ep250_seed1.pth,PreResNet110,dnn,PreResNet110,1,2,0.5,0.05,50,1,0,0.9,True,False,False,False,0.2547,0.7453000000000001,0.4482358396053314,0.0,0.4999999701976776,,1,0.9712,0.1037,0.9313,0.9712,10000,407.6195374717936
models_target/CIFAR10/PreResNet110/single_model/model_Adam_bs128_lr0.01_lrd75_psig100.0_ep250_seed1.pth,PreResNet110,dnn,PreResNet110,1,inf,0.01568,0.001568,50,1,0,0.9,True,False,False,False,0.1899,0.8101,0.015680013224482536,0.01568000018596649,0.015680015087127686,,1,0.9712,0.0,0.9313,0.9712,10000,402.8029102990404
models_target/CIFAR10/PreResNet110/single_model/model_Adam_bs128_lr0.01_lrd75_psig100.0_ep250_seed1.pth,PreResNet110,dnn,PreResNet110,2,inf,0.01568,0.001568,50,1,0,,True,False,False,False,0.148,0.852,0.015680013224482536,0.01568000018596649,0.015680015087127686,,2,0.9819,0.0012,0.9313,0.9819,10000,404.0229160999879
models_target/CIFAR10/PreResNet110/single_model/model_Adam_bs128_lr0.01_lrd75_psig100.0_ep250_seed1.pth,PreResNet110,dnn,PreResNet110,2,2,0.5,0.05,50,1,0,0.9,True,False,False,False,0.1446,0.8553999999999999,0.46669116616249084,0.0,0.4999999701976776,,2,0.9819,0.0695,0.9313,0.9819,10000,403.26305593922734
models_target/CIFAR10/PreResNet110/single_model/model_Adam_bs128_lr0.01_lrd75_psig100.0_ep250_seed1.pth,PreResNet110,dnn,PreResNet110,2,inf,0.01568,0.001568,50,1,0,0.9,True,False,False,False,0.0909,0.9091,0.015680013224482536,0.01568000018596649,0.015680015087127686,,2,0.9819,0.0036,0.9313,0.9819,10000,402.63851824682206
models_target/CIFAR10/PreResNet110/single_model/model_Adam_bs128_lr0.01_lrd75_psig100.0_ep250_seed1.pth,PreResNet110,dnn,PreResNet110,3,inf,0.01568,0.001568,50,1,0,,True,False,False,False,0.0863,0.9137,0.015680013224482536,0.01568000018596649,0.015680015087127686,,3,0.9822,0.0023,0.9313,0.9822,10000,398.60798031650484
models_target/CIFAR10/PreResNet110/single_model/model_Adam_bs128_lr0.01_lrd75_psig100.0_ep250_seed1.pth,PreResNet110,dnn,PreResNet110,3,2,0.5,0.05,50,1,0,0.9,True,False,False,False,0.1008,0.8992,0.47370418906211853,0.0,0.5,,3,0.9822,0.0574,0.9313,0.9822,10000,403.4791069040075
models_target/CIFAR10/PreResNet110/single_model/model_Adam_bs128_lr0.01_lrd75_psig100.0_ep250_seed1.pth,PreResNet110,dnn,PreResNet110,3,inf,0.01568,0.001568,50,1,0,0.9,True,False,False,False,0.0508,0.9492,0.015680013224482536,0.01568000018596649,0.015680015087127686,,3,0.9822,0.0035,0.9313,0.9822,10000,402.30124181043357
models_target/CIFAR10/PreResNet110/single_model/model_Adam_bs128_lr0.01_lrd75_psig100.0_ep250_seed1.pth,PreResNet110,dnn,PreResNet110,4,inf,0.01568,0.001568,50,1,0,,True,False,False,False,0.0608,0.9392,0.015680013224482536,0.01568000018596649,0.015680015087127686,,4,0.9846,0.003,0.9313,0.9846,10000,415.3040802106261
models_target/CIFAR10/PreResNet110/single_model/model_Adam_bs128_lr0.01_lrd75_psig100.0_ep250_seed1.pth,PreResNet110,dnn,PreResNet110,4,2,0.5,0.05,50,1,0,0.9,True,False,False,False,0.0794,0.9206,0.47712013125419617,0.0,0.4999999701976776,,4,0.9846,0.0501,0.9313,0.9846,10000,406.017495774664
models_target/CIFAR10/PreResNet110/single_model/model_Adam_bs128_lr0.01_lrd75_psig100.0_ep250_seed1.pth,PreResNet110,dnn,PreResNet110,4,inf,0.01568,0.001568,50,1,0,0.9,True,False,False,False,0.0336,0.9664,0.015680013224482536,0.01568000018596649,0.015680015087127686,,4,0.9846,0.0026,0.9313,0.9846,10000,397.0051532872021
models_target/CIFAR10/PreResNet110/single_model/model_Adam_bs128_lr0.01_lrd75_psig100.0_ep250_seed1.pth,PreResNet110,dnn,PreResNet110,5,inf,0.01568,0.001568,50,1,0,,True,False,False,False,0.0502,0.9498,0.015680013224482536,0.01568000018596649,0.015680015087127686,,5,0.985,0.0038,0.9313,0.985,10000,404.8335744133219
models_target/CIFAR10/PreResNet110/single_model/model_Adam_bs128_lr0.01_lrd75_psig100.0_ep250_seed1.pth,PreResNet110,dnn,PreResNet110,5,2,0.5,0.05,50,1,0,0.9,True,False,False,False,0.0724,0.9276,0.4788868725299835,0.0,0.4999999701976776,,5,0.985,0.0486,0.9313,0.985,10000,405.3194193439558
models_target/CIFAR10/PreResNet110/single_model/model_Adam_bs128_lr0.01_lrd75_psig100.0_ep250_seed1.pth,PreResNet110,dnn,PreResNet110,5,inf,0.01568,0.001568,50,1,0,0.9,True,False,False,False,0.0276,0.9724,0.015680013224482536,0.01568000018596649,0.015680015087127686,,5,0.985,0.0036,0.9313,0.985,10000,401.4292780049145
models_target/CIFAR10/PreResNet110/single_model/model_Adam_bs128_lr0.01_lrd75_psig100.0_ep250_seed1.pth,PreResNet110,dnn,PreResNet110,6,inf,0.01568,0.001568,50,1,0,,True,False,False,False,0.0418,0.9582,0.015680013224482536,0.01568000018596649,0.015680015087127686,,6,0.9858,0.0045,0.9313,0.9858,10000,405.0822402071208
