model_target,arch_target,surrogate_type,surrogate_archs,surrogate_size_ensembles,norm_type,norm_max,norm_step,n_iter,n_ensemble,n_random_init,momentum,shuffle,ghost,input_diversity,translation_invariant,adv_fail_rate,adv_sucess_rate,adv_norm_mean,adv_norm_min,adv_norm_max,limit_samples_cycle,limit_cycles,surrogate_acc_original_ex,surrogate_acc_adv_ex,target_acc_original_ex,acc_original_ex,nb_adv,time
models_target/CIFAR10/PreResNet110/single_model/model_Adam_bs128_lr0.01_lrd75_psig100.0_ep250_seed1.pth,PreResNet110,dnn,PreResNet110,1,2,0.5,0.05,50,1,0,,False,False,False,False,0.4133,0.5867,0.46722114086151123,0.0,0.4999999701976776,,,0.957,0.0653,0.7902,0.957,10000,274.73429797776043
models_target/CIFAR10/PreResNet110/single_model/model_Adam_bs128_lr0.01_lrd75_psig100.0_ep250_seed1.pth,PreResNet110,dnn,PreResNet110,1,inf,0.03137,0.003137,50,1,0,,False,False,False,False,0.1488,0.8512,0.03137001022696495,0.031369999051094055,0.03137001395225525,,,0.957,0.0,0.7902,0.957,10000,274.37608615867794
models_target/CIFAR10/PreResNet110/single_model/model_Adam_bs128_lr0.01_lrd75_psig100.0_ep250_seed1.pth,PreResNet110,dnn,PreResNet110,1,2,0.5,0.05,50,1,0,,False,False,False,False,0.477,0.523,0.34556275606155396,0.0,0.4999999701976776,,,0.9655,0.2666,0.7902,0.9655,10000,274.34959685150534
models_target/CIFAR10/PreResNet110/single_model/model_Adam_bs128_lr0.01_lrd75_psig100.0_ep250_seed1.pth,PreResNet110,dnn,PreResNet110,1,inf,0.03137,0.003137,50,1,0,,False,False,False,False,0.1434,0.8566,0.03137001022696495,0.03136998414993286,0.03137001395225525,,,0.9655,0.0,0.7902,0.9655,10000,274.9980471841991
models_target/CIFAR10/PreResNet110/single_model/model_Adam_bs128_lr0.01_lrd75_psig100.0_ep250_seed1.pth,PreResNet110,dnn,PreResNet110,1,2,0.5,0.05,50,1,0,,False,False,False,False,0.524,0.476,0.306811660528183,0.0,0.4999999701976776,,,0.9724,0.3833,0.7902,0.9724,10000,274.4887863220647
models_target/CIFAR10/PreResNet110/single_model/model_Adam_bs128_lr0.01_lrd75_psig100.0_ep250_seed1.pth,PreResNet110,dnn,PreResNet110,1,inf,0.03137,0.003137,50,1,0,,False,False,False,False,0.1134,0.8866,0.03137001022696495,0.031369999051094055,0.03137001395225525,,,0.9724,0.0,0.7902,0.9724,10000,274.1418096879497
models_target/CIFAR10/PreResNet110/single_model/model_Adam_bs128_lr0.01_lrd75_psig100.0_ep250_seed1.pth,PreResNet110,dnn,PreResNet110,1,2,0.5,0.05,50,1,0,,False,False,False,False,0.5455,0.4545,0.28112295269966125,0.0,0.4999999701976776,,,0.7645,0.4348,0.7902,0.7645,10000,274.4476629756391
models_target/CIFAR10/PreResNet110/single_model/model_Adam_bs128_lr0.01_lrd75_psig100.0_ep250_seed1.pth,PreResNet110,dnn,PreResNet110,1,inf,0.03137,0.003137,50,1,0,,False,False,False,False,0.1013,0.8987,0.03137001022696495,0.031369999051094055,0.03137001395225525,,,0.7645,0.0,0.7902,0.7645,10000,274.8003753433004
models_target/CIFAR10/PreResNet110/single_model/model_Adam_bs128_lr0.01_lrd75_psig100.0_ep250_seed1.pth,PreResNet110,dnn,PreResNet110,1,2,0.5,0.05,50,1,0,,False,False,False,False,0.2713,0.7287,0.4157664477825165,0.0,0.4999999701976776,,,0.7181,0.167,0.7902,0.7181,10000,274.68872374948114
models_target/CIFAR10/PreResNet110/single_model/model_Adam_bs128_lr0.01_lrd75_psig100.0_ep250_seed1.pth,PreResNet110,dnn,PreResNet110,1,inf,0.03137,0.003137,50,1,0,,False,False,False,False,0.0307,0.9693,0.03137001022696495,0.031369999051094055,0.03137001395225525,,,0.7181,0.0,0.7902,0.7181,10000,274.54853666666895
