model_target,arch_target,surrogate_type,surrogate_archs,surrogate_size_ensembles,norm_type,norm_max,norm_step,n_iter,n_ensemble,n_random_init,momentum,shuffle,ghost,input_diversity,translation_invariant,adv_fail_rate,adv_sucess_rate,adv_norm_mean,adv_norm_min,adv_norm_max,limit_samples_cycle,limit_cycles,surrogate_acc_original_ex,surrogate_acc_adv_ex,target_acc_original_ex,acc_original_ex,nb_adv,time
models_target/CIFAR10/PreResNet110/single_model/model_Adam_bs128_lr0.01_lrd75_psig100.0_ep250_seed1.pth,PreResNet110,cSGLD,PreResNet110,15,2,0.5,0.05,50,1,0,,True,False,False,False,0.0654,0.9346,0.49928271770477295,0.0014082664856687188,0.4999999701976776,,,0.9884,0.0022,0.9313,0.9884,10000,402.6593495858833
models_target/CIFAR10/PreResNet110/single_model/model_Adam_bs128_lr0.01_lrd75_psig100.0_ep250_seed1.pth,PreResNet110,cSGLD,PreResNet110,15,inf,0.01568,0.001568,50,1,0,,True,False,False,False,0.0658,0.9342,0.015680013224482536,0.01568000018596649,0.015680015087127686,,,0.9884,0.0007,0.9313,0.9884,10000,400.11033028922975
models_target/CIFAR10/PreResNet110/single_model/model_Adam_bs128_lr0.01_lrd75_psig100.0_ep250_seed1.pth,PreResNet110,cSGLD,PreResNet110,15,2,0.5,0.05,50,1,0,0.9,True,False,False,False,0.0655,0.9345,0.4999999403953552,0.4999997913837433,0.4999999701976776,,,0.9884,0.0007,0.9313,0.9884,10000,405.97948170267045
models_target/CIFAR10/PreResNet110/single_model/model_Adam_bs128_lr0.01_lrd75_psig100.0_ep250_seed1.pth,PreResNet110,cSGLD,PreResNet110,15,inf,0.01568,0.001568,50,1,0,0.9,True,False,False,False,0.0515,0.9485,0.015680013224482536,0.01568000018596649,0.015680015087127686,,,0.9884,0.0006,0.9313,0.9884,10000,405.7255340255797
models_target/CIFAR10/PreResNet110/single_model/model_Adam_bs128_lr0.01_lrd75_psig100.0_ep250_seed1.pth,PreResNet110,cSGLD,PreResNet110,15,2,0.5,0.05,50,1,5,,True,False,False,False,0.0719,0.9281,0.49999502301216125,0.4696512222290039,0.4999999701976776,,,0.9884,0.0015,0.9313,0.9884,10000,2183.385620430112
models_target/CIFAR10/PreResNet110/single_model/model_Adam_bs128_lr0.01_lrd75_psig100.0_ep250_seed1.pth,PreResNet110,cSGLD,PreResNet110,15,inf,0.01568,0.001568,50,1,5,,True,False,False,False,0.0694,0.9306,0.015680013224482536,0.01568000018596649,0.015680015087127686,,,0.9884,0.0006,0.9313,0.9884,10000,2178.253021516837
models_target/CIFAR10/PreResNet110/single_model/model_Adam_bs128_lr0.01_lrd75_psig100.0_ep250_seed1.pth,PreResNet110,cSGLD,PreResNet110,15,2,0.5,0.5,1,15,0,,True,False,False,False,0.5515,0.4485,0.4438408315181732,0.0001692955702310428,0.4999999701976776,,,0.9884,0.4007,0.9313,0.9884,10000,136.08731643296778
models_target/CIFAR10/PreResNet110/single_model/model_Adam_bs128_lr0.01_lrd75_psig100.0_ep250_seed1.pth,PreResNet110,cSGLD,PreResNet110,15,inf,0.01568,0.01568,1,15,0,,True,False,False,False,0.3989,0.6011,0.015680013224482536,0.01568000018596649,0.015680015087127686,,,0.9884,0.2423,0.9313,0.9884,10000,134.83759991452098
models_target/CIFAR10/PreResNet110/single_model/model_Adam_bs128_lr0.01_lrd75_psig100.0_ep250_seed1.pth,PreResNet110,cSGLD,PreResNet110,15,2,0.5,0.05,50,15,0,,True,False,False,False,0.065,0.935,0.49804627895355225,0.0008672969997860491,0.4999999701976776,,,0.9884,0.0048,0.9313,0.9884,10000,6748.54070274625
models_target/CIFAR10/PreResNet110/single_model/model_Adam_bs128_lr0.01_lrd75_psig100.0_ep250_seed1.pth,PreResNet110,cSGLD,PreResNet110,15,inf,0.01568,0.001568,50,15,0,,True,False,False,False,0.049,0.951,0.015680013224482536,0.01568000018596649,0.015680015087127686,,,0.9884,0.0002,0.9313,0.9884,10000,6738.366292834282
