model_target,arch_target,surrogate_type,surrogate_archs,surrogate_size_ensembles,norm_type,norm_max,norm_step,n_iter,n_ensemble,n_random_init,momentum,shuffle,ghost,input_diversity,translation_invariant,adv_fail_rate,adv_sucess_rate,adv_norm_mean,adv_norm_min,adv_norm_max,limit_samples_cycle,limit_cycles,surrogate_acc_original_ex,surrogate_acc_adv_ex,target_acc_original_ex,acc_original_ex,nb_adv,time
models_target/CIFAR10/PreResNet110/single_model/model_Adam_bs128_lr0.01_lrd75_psig100.0_ep250_seed1.pth,PreResNet110,cSGLD,PreResNet110,3,2,0.5,0.05,50,1,0,,True,False,False,False,0.2795,0.7204999999999999,0.49855372309684753,0.0004216382512822747,0.4999999701976776,,1,0.9765,0.0029,0.9313,0.9765,10000,695.4564060671255
models_target/CIFAR10/PreResNet110/single_model/model_Adam_bs128_lr0.01_lrd75_psig100.0_ep250_seed1.pth,PreResNet110,cSGLD,PreResNet110,3,inf,0.01568,0.001568,50,1,0,,True,False,False,False,0.252,0.748,0.015680013224482536,0.01568000018596649,0.015680015087127686,,1,0.9765,0.0,0.9313,0.9765,10000,691.9766461877152
models_target/CIFAR10/PreResNet110/single_model/model_Adam_bs128_lr0.01_lrd75_psig100.0_ep250_seed1.pth,PreResNet110,cSGLD,PreResNet110,6,2,0.5,0.05,50,1,0,,True,False,False,False,0.1316,0.8684000000000001,0.49915263056755066,0.0021690453868359327,0.4999999701976776,,2,0.9849,0.0019,0.9313,0.9849,10000,697.1405598940328
models_target/CIFAR10/PreResNet110/single_model/model_Adam_bs128_lr0.01_lrd75_psig100.0_ep250_seed1.pth,PreResNet110,cSGLD,PreResNet110,6,inf,0.01568,0.001568,50,1,0,,True,False,False,False,0.1238,0.8762,0.015680013224482536,0.01568000018596649,0.015680015087127686,,2,0.9849,0.0001,0.9313,0.9849,10000,698.5402259211987
models_target/CIFAR10/PreResNet110/single_model/model_Adam_bs128_lr0.01_lrd75_psig100.0_ep250_seed1.pth,PreResNet110,cSGLD,PreResNet110,9,2,0.5,0.05,50,1,0,,True,False,False,False,0.0927,0.9073,0.4992772340774536,0.0014217670541256666,0.4999999701976776,,3,0.9859,0.0019,0.9313,0.9859,10000,694.1988554643467
models_target/CIFAR10/PreResNet110/single_model/model_Adam_bs128_lr0.01_lrd75_psig100.0_ep250_seed1.pth,PreResNet110,cSGLD,PreResNet110,9,inf,0.01568,0.001568,50,1,0,,True,False,False,False,0.0873,0.9127,0.015680013224482536,0.01568000018596649,0.015680015087127686,,3,0.9859,0.0003,0.9313,0.9859,10000,694.5630720127374
models_target/CIFAR10/PreResNet110/single_model/model_Adam_bs128_lr0.01_lrd75_psig100.0_ep250_seed1.pth,PreResNet110,cSGLD,PreResNet110,12,2,0.5,0.05,50,1,0,,True,False,False,False,0.076,0.924,0.49926427006721497,0.0061069633811712265,0.4999999701976776,,4,0.988,0.0026,0.9313,0.988,10000,696.0261091934517
models_target/CIFAR10/PreResNet110/single_model/model_Adam_bs128_lr0.01_lrd75_psig100.0_ep250_seed1.pth,PreResNet110,cSGLD,PreResNet110,12,inf,0.01568,0.001568,50,1,0,,True,False,False,False,0.0712,0.9288,0.015680013224482536,0.01568000018596649,0.015680015087127686,,4,0.988,0.0004,0.9313,0.988,10000,694.5320512624457
models_target/CIFAR10/PreResNet110/single_model/model_Adam_bs128_lr0.01_lrd75_psig100.0_ep250_seed1.pth,PreResNet110,cSGLD,PreResNet110,15,2,0.5,0.05,50,1,0,,True,False,False,False,0.0697,0.9303,0.4993235468864441,0.005163372959941626,0.4999999701976776,,5,0.9884,0.0022,0.9313,0.9884,10000,694.4143711440265
models_target/CIFAR10/PreResNet110/single_model/model_Adam_bs128_lr0.01_lrd75_psig100.0_ep250_seed1.pth,PreResNet110,cSGLD,PreResNet110,15,inf,0.01568,0.001568,50,1,0,,True,False,False,False,0.0683,0.9317,0.015680013224482536,0.01568000018596649,0.015680015087127686,,5,0.9884,0.0006,0.9313,0.9884,10000,693.4054532498121
models_target/CIFAR10/PreResNet110/single_model/model_Adam_bs128_lr0.01_lrd75_psig100.0_ep250_seed1.pth,PreResNet110,cSGLD,PreResNet110,18,2,0.5,0.05,50,1,0,,True,False,False,False,0.0614,0.9386,0.4993073642253876,0.005252033472061157,0.4999999701976776,,6,0.9884,0.0022,0.9313,0.9884,10000,698.8450126778334
models_target/CIFAR10/PreResNet110/single_model/model_Adam_bs128_lr0.01_lrd75_psig100.0_ep250_seed1.pth,PreResNet110,cSGLD,PreResNet110,18,inf,0.01568,0.001568,50,1,0,,True,False,False,False,0.0593,0.9407,0.015680013224482536,0.01568000018596649,0.015680015087127686,,6,0.9884,0.0006,0.9313,0.9884,10000,697.0318594211712
models_target/CIFAR10/PreResNet110/single_model/model_Adam_bs128_lr0.01_lrd75_psig100.0_ep250_seed1.pth,PreResNet110,cSGLD,PreResNet110,21,2,0.5,0.05,50,1,0,,True,False,False,False,0.0608,0.9392,0.4993281662464142,0.005410816986113787,0.4999999701976776,,7,0.9883,0.0026,0.9313,0.9883,10000,696.5473194690421
models_target/CIFAR10/PreResNet110/single_model/model_Adam_bs128_lr0.01_lrd75_psig100.0_ep250_seed1.pth,PreResNet110,cSGLD,PreResNet110,21,inf,0.01568,0.001568,50,1,0,,True,False,False,False,0.0594,0.9406,0.015680013224482536,0.01568000018596649,0.015680015087127686,,7,0.9883,0.0007,0.9313,0.9883,10000,696.8957858243957
models_target/CIFAR10/PreResNet110/single_model/model_Adam_bs128_lr0.01_lrd75_psig100.0_ep250_seed1.pth,PreResNet110,cSGLD,PreResNet110,24,2,0.5,0.05,50,1,0,,True,False,False,False,0.0564,0.9436,0.4993467330932617,0.004816197324544191,0.4999999701976776,,8,0.9202,0.0027,0.9313,0.9202,10000,420.12900978699327
models_target/CIFAR10/PreResNet110/single_model/model_Adam_bs128_lr0.01_lrd75_psig100.0_ep250_seed1.pth,PreResNet110,cSGLD,PreResNet110,24,inf,0.01568,0.001568,50,1,0,,True,False,False,False,0.056,0.944,0.015680013224482536,0.01568000018596649,0.015680015087127686,,8,0.9202,0.0008,0.9313,0.9202,10000,418.5939141679555
models_target/CIFAR10/PreResNet110/single_model/model_Adam_bs128_lr0.01_lrd75_psig100.0_ep250_seed1.pth,PreResNet110,cSGLD,PreResNet110,27,2,0.5,0.05,50,1,0,,True,False,False,False,0.0593,0.9407,0.499308705329895,0.003812461858615279,0.4999999701976776,,9,0.9201,0.0027,0.9313,0.9201,10000,416.4198163822293
models_target/CIFAR10/PreResNet110/single_model/model_Adam_bs128_lr0.01_lrd75_psig100.0_ep250_seed1.pth,PreResNet110,cSGLD,PreResNet110,27,inf,0.01568,0.001568,50,1,0,,True,False,False,False,0.0582,0.9418,0.015680013224482536,0.01568000018596649,0.015680015087127686,,9,0.9201,0.0009,0.9313,0.9201,10000,417.55076708085835
models_target/CIFAR10/PreResNet110/single_model/model_Adam_bs128_lr0.01_lrd75_psig100.0_ep250_seed1.pth,PreResNet110,cSGLD,PreResNet110,30,2,0.5,0.05,50,1,0,,True,False,False,False,0.0561,0.9439,0.4992489218711853,0.00339132989756763,0.4999999701976776,,10,0.92,0.0029,0.9313,0.92,10000,421.6987161748111
models_target/CIFAR10/PreResNet110/single_model/model_Adam_bs128_lr0.01_lrd75_psig100.0_ep250_seed1.pth,PreResNet110,cSGLD,PreResNet110,30,inf,0.01568,0.001568,50,1,0,,True,False,False,False,0.0541,0.9459,0.015680013224482536,0.01568000018596649,0.015680015087127686,,10,0.92,0.0009,0.9313,0.92,10000,418.15832985844463
models_target/CIFAR10/PreResNet110/single_model/model_Adam_bs128_lr0.01_lrd75_psig100.0_ep250_seed1.pth,PreResNet110,cSGLD,PreResNet110,33,2,0.5,0.05,50,1,0,,True,False,False,False,0.0613,0.9387,0.4992901384830475,0.002660291502252221,0.4999999701976776,,11,0.9199,0.0029,0.9313,0.9199,10000,415.9640743415803
models_target/CIFAR10/PreResNet110/single_model/model_Adam_bs128_lr0.01_lrd75_psig100.0_ep250_seed1.pth,PreResNet110,cSGLD,PreResNet110,33,inf,0.01568,0.001568,50,1,0,,True,False,False,False,0.0588,0.9412,0.015680013224482536,0.01568000018596649,0.015680015087127686,,11,0.9199,0.001,0.9313,0.9199,10000,418.17787141446024
models_target/CIFAR10/PreResNet110/single_model/model_Adam_bs128_lr0.01_lrd75_psig100.0_ep250_seed1.pth,PreResNet110,cSGLD,PreResNet110,36,2,0.5,0.05,50,1,0,,True,False,False,False,0.0641,0.9359,0.4993339776992798,0.002789742313325405,0.4999999701976776,,12,0.92,0.0031,0.9313,0.92,10000,417.9249801123515
models_target/CIFAR10/PreResNet110/single_model/model_Adam_bs128_lr0.01_lrd75_psig100.0_ep250_seed1.pth,PreResNet110,cSGLD,PreResNet110,36,inf,0.01568,0.001568,50,1,0,,True,False,False,False,0.0599,0.9401,0.015680013224482536,0.01568000018596649,0.015680015087127686,,12,0.92,0.0009,0.9313,0.92,10000,419.7587485415861
models_target/CIFAR10/PreResNet110/single_model/model_Adam_bs128_lr0.01_lrd75_psig100.0_ep250_seed1.pth,PreResNet110,cSGLD,PreResNet110,39,2,0.5,0.05,50,1,0,,True,False,False,False,0.0591,0.9409,0.4993283152580261,0.002708114217966795,0.5,,13,0.9206,0.003,0.9313,0.9206,10000,420.0331716677174
models_target/CIFAR10/PreResNet110/single_model/model_Adam_bs128_lr0.01_lrd75_psig100.0_ep250_seed1.pth,PreResNet110,cSGLD,PreResNet110,39,inf,0.01568,0.001568,50,1,0,,True,False,False,False,0.0563,0.9437,0.015680013224482536,0.01568000018596649,0.015680015087127686,,13,0.9206,0.0009,0.9313,0.9206,10000,417.7519182097167
models_target/CIFAR10/PreResNet110/single_model/model_Adam_bs128_lr0.01_lrd75_psig100.0_ep250_seed1.pth,PreResNet110,cSGLD,PreResNet110,42,2,0.5,0.05,50,1,0,,True,False,False,False,0.0567,0.9433,0.49927079677581787,0.002631775802001357,0.4999999701976776,,14,0.9206,0.0032,0.9313,0.9206,10000,422.62854457832873
models_target/CIFAR10/PreResNet110/single_model/model_Adam_bs128_lr0.01_lrd75_psig100.0_ep250_seed1.pth,PreResNet110,cSGLD,PreResNet110,42,inf,0.01568,0.001568,50,1,0,,True,False,False,False,0.053,0.947,0.015680013224482536,0.01568000018596649,0.015680015087127686,,14,0.9206,0.0008,0.9313,0.9206,10000,411.34160238783807
models_target/CIFAR10/PreResNet110/single_model/model_Adam_bs128_lr0.01_lrd75_psig100.0_ep250_seed1.pth,PreResNet110,cSGLD,PreResNet110,45,2,0.5,0.05,50,1,0,,True,False,False,False,0.0568,0.9432,0.4992382228374481,0.002417812356725335,0.4999999701976776,,15,0.9205,0.0029,0.9313,0.9205,10000,413.7826499985531
models_target/CIFAR10/PreResNet110/single_model/model_Adam_bs128_lr0.01_lrd75_psig100.0_ep250_seed1.pth,PreResNet110,cSGLD,PreResNet110,45,inf,0.01568,0.001568,50,1,0,,True,False,False,False,0.0535,0.9465,0.015680013224482536,0.01568000018596649,0.015680015087127686,,15,0.9205,0.0009,0.9313,0.9205,10000,412.37811837438494
models_target/CIFAR10/PreResNet110/single_model/model_Adam_bs128_lr0.01_lrd75_psig100.0_ep250_seed1.pth,PreResNet110,cSGLD,PreResNet110,48,2,0.5,0.05,50,1,0,,True,False,False,False,0.0564,0.9436,0.49926427006721497,0.0024049945641309023,0.4999999701976776,,16,0.9204,0.0033,0.9313,0.9204,10000,416.706992902793
models_target/CIFAR10/PreResNet110/single_model/model_Adam_bs128_lr0.01_lrd75_psig100.0_ep250_seed1.pth,PreResNet110,cSGLD,PreResNet110,48,inf,0.01568,0.001568,50,1,0,,True,False,False,False,0.0516,0.9484,0.015680013224482536,0.01568000018596649,0.015680015087127686,,16,0.9204,0.001,0.9313,0.9204,10000,411.8640598030761
