model_target,arch_target,surrogate_type,surrogate_archs,surrogate_size_ensembles,norm_type,norm_max,norm_step,n_iter,n_ensemble,n_random_init,momentum,shuffle,ghost,input_diversity,translation_invariant,adv_fail_rate,adv_sucess_rate,adv_norm_mean,adv_norm_min,adv_norm_max,limit_samples_cycle,limit_cycles,surrogate_acc_original_ex,surrogate_acc_adv_ex,target_acc_original_ex,acc_original_ex,nb_adv,time
models_target/CIFAR10/PreResNet110/single_model/model_Adam_bs128_lr0.01_lrd75_psig100.0_ep250_seed1.pth,PreResNet110,cSGLD,PreResNet110,5,2,0.5,0.05,50,1,0,,True,False,False,False,0.0771,0.9229,0.49919593334198,0.004267082083970308,0.4999999701976776,,,0.989,0.003,0.9313,0.989,10000,425.1166206551716
models_target/CIFAR10/PreResNet110/single_model/model_Adam_bs128_lr0.01_lrd75_psig100.0_ep250_seed1.pth,PreResNet110,cSGLD,PreResNet110,5,inf,0.01568,0.001568,50,1,0,,True,False,False,False,0.0724,0.9276,0.015680013224482536,0.01568000018596649,0.015680015087127686,,,0.989,0.0008,0.9313,0.989,10000,413.4078899631277
models_target/CIFAR10/PreResNet110/single_model/model_Adam_bs128_lr0.01_lrd75_psig100.0_ep250_seed1.pth,PreResNet110,cSGLD,PreResNet110,10,2,0.5,0.05,50,1,0,,True,False,False,False,0.0666,0.9334,0.49883124232292175,0.0018062004819512367,0.4999999701976776,,,0.9891,0.0037,0.9313,0.9891,10000,415.15250883530825
models_target/CIFAR10/PreResNet110/single_model/model_Adam_bs128_lr0.01_lrd75_psig100.0_ep250_seed1.pth,PreResNet110,cSGLD,PreResNet110,10,inf,0.01568,0.001568,50,1,0,,True,False,False,False,0.0645,0.9355,0.015680013224482536,0.01568000018596649,0.015680015087127686,,,0.9891,0.0006,0.9313,0.9891,10000,413.14483823627234
models_target/CIFAR10/PreResNet110/single_model/model_Adam_bs128_lr0.01_lrd75_psig100.0_ep250_seed1.pth,PreResNet110,cSGLD,PreResNet110,15,2,0.5,0.05,50,1,0,,True,False,False,False,0.0654,0.9346,0.49928271770477295,0.0014082664856687188,0.4999999701976776,,,0.9884,0.0022,0.9313,0.9884,10000,415.4600445423275
models_target/CIFAR10/PreResNet110/single_model/model_Adam_bs128_lr0.01_lrd75_psig100.0_ep250_seed1.pth,PreResNet110,cSGLD,PreResNet110,15,inf,0.01568,0.001568,50,1,0,,True,False,False,False,0.0658,0.9342,0.015680013224482536,0.01568000018596649,0.015680015087127686,,,0.9884,0.0007,0.9313,0.9884,10000,417.39504321850836
models_target/CIFAR10/PreResNet110/single_model/model_Adam_bs128_lr0.01_lrd75_psig100.0_ep250_seed1.pth,PreResNet110,cSGLD,PreResNet110,20,2,0.5,0.05,50,1,0,,True,False,False,False,0.081,0.919,0.4991142451763153,0.008628093637526035,0.4999999701976776,,,0.9205,0.0033,0.9313,0.9205,10000,413.29906360339373
models_target/CIFAR10/PreResNet110/single_model/model_Adam_bs128_lr0.01_lrd75_psig100.0_ep250_seed1.pth,PreResNet110,cSGLD,PreResNet110,20,inf,0.01568,0.001568,50,1,0,,True,False,False,False,0.0757,0.9243,0.015680013224482536,0.01568000018596649,0.015680015087127686,,,0.9205,0.0008,0.9313,0.9205,10000,415.23818416148424
models_target/CIFAR10/PreResNet110/single_model/model_Adam_bs128_lr0.01_lrd75_psig100.0_ep250_seed1.pth,PreResNet110,cSGLD,PreResNet110,25,2,0.5,0.05,50,1,0,,True,False,False,False,0.0627,0.9373,0.49945542216300964,0.012147861532866955,0.4999999701976776,,,0.9199,0.0019,0.9313,0.9199,10000,415.03198637627065
models_target/CIFAR10/PreResNet110/single_model/model_Adam_bs128_lr0.01_lrd75_psig100.0_ep250_seed1.pth,PreResNet110,cSGLD,PreResNet110,25,inf,0.01568,0.001568,50,1,0,,True,False,False,False,0.0657,0.9343,0.015680013224482536,0.01568000018596649,0.015680015087127686,,,0.9199,0.0006,0.9313,0.9199,10000,416.47422996908426
models_target/CIFAR10/PreResNet110/single_model/model_Adam_bs128_lr0.01_lrd75_psig100.0_ep250_seed1.pth,PreResNet110,cSGLD,PreResNet110,30,2,0.5,0.05,50,1,0,,True,False,False,False,0.0634,0.9366,0.4993632733821869,0.0041763740591704845,0.4999999701976776,,,0.9883,0.0025,0.9313,0.9883,10000,410.9875782011077
models_target/CIFAR10/PreResNet110/single_model/model_Adam_bs128_lr0.01_lrd75_psig100.0_ep250_seed1.pth,PreResNet110,cSGLD,PreResNet110,30,inf,0.01568,0.001568,50,1,0,,True,False,False,False,0.061,0.9390000000000001,0.015680013224482536,0.01568000018596649,0.015680015087127686,,,0.9883,0.0004,0.9313,0.9883,10000,417.8528416445479
models_target/CIFAR10/PreResNet110/single_model/model_Adam_bs128_lr0.01_lrd75_psig100.0_ep250_seed1.pth,PreResNet110,cSGLD,PreResNet110,35,2,0.5,0.05,50,1,0,,True,False,False,False,0.066,0.9339999999999999,0.49960365891456604,0.005864262580871582,0.4999999701976776,,,0.9189,0.0023,0.9313,0.9189,10000,416.0610251361504
models_target/CIFAR10/PreResNet110/single_model/model_Adam_bs128_lr0.01_lrd75_psig100.0_ep250_seed1.pth,PreResNet110,cSGLD,PreResNet110,35,inf,0.01568,0.001568,50,1,0,,True,False,False,False,0.0653,0.9347,0.015680013224482536,0.01568000018596649,0.015680015087127686,,,0.9189,0.0012,0.9313,0.9189,10000,417.02136986143887
models_target/CIFAR10/PreResNet110/single_model/model_Adam_bs128_lr0.01_lrd75_psig100.0_ep250_seed1.pth,PreResNet110,cSGLD,PreResNet110,40,2,0.5,0.05,50,1,0,,True,False,False,False,0.067,0.933,0.4997212290763855,0.02485886961221695,0.4999999701976776,,,0.9897,0.0018,0.9313,0.9897,10000,413.8975682798773
models_target/CIFAR10/PreResNet110/single_model/model_Adam_bs128_lr0.01_lrd75_psig100.0_ep250_seed1.pth,PreResNet110,cSGLD,PreResNet110,40,inf,0.01568,0.001568,50,1,0,,True,False,False,False,0.0683,0.9317,0.015680013224482536,0.01568000018596649,0.015680015087127686,,,0.9897,0.0007,0.9313,0.9897,10000,411.95019935723394
