model_target,arch_target,surrogate_type,surrogate_archs,surrogate_size_ensembles,norm_type,norm_max,norm_step,n_iter,n_ensemble,n_random_init,momentum,shuffle,ghost,input_diversity,translation_invariant,adv_fail_rate,adv_sucess_rate,adv_norm_mean,adv_norm_min,adv_norm_max,limit_samples_cycle,limit_cycles,surrogate_acc_original_ex,surrogate_acc_adv_ex,target_acc_original_ex,acc_original_ex,nb_adv,time
ImageNet/pretrained/resnet50,resnet50,cSGLD,resnet50,15,2,3.0,0.3,0,1,0,,True,False,False,False,0.942,0.05800000000000005,3.0,2.9999992847442627,3.000000476837158,,,0.928,0.0,1.0,0.928,2500,1884.5601773960516
ImageNet/pretrained/resnet50,resnet50,cSGLD,resnet50,15,2,3.0,0.3,1,1,0,,True,False,False,False,0.8776,0.12239999999999995,3.0,2.9999992847442627,3.000000476837158,,,0.928,0.0,1.0,0.928,2500,1884.5601773960516
ImageNet/pretrained/resnet50,resnet50,cSGLD,resnet50,15,2,3.0,0.3,2,1,0,,True,False,False,False,0.8268,0.17320000000000002,3.0,2.9999992847442627,3.000000476837158,,,0.928,0.0,1.0,0.928,2500,1884.5601773960516
ImageNet/pretrained/resnet50,resnet50,cSGLD,resnet50,15,2,3.0,0.3,3,1,0,,True,False,False,False,0.786,0.21399999999999997,3.0,2.9999992847442627,3.000000476837158,,,0.928,0.0,1.0,0.928,2500,1884.5601773960516
ImageNet/pretrained/resnet50,resnet50,cSGLD,resnet50,15,2,3.0,0.3,4,1,0,,True,False,False,False,0.7224,0.27759999999999996,3.0,2.9999992847442627,3.000000476837158,,,0.928,0.0,1.0,0.928,2500,1884.5601773960516
ImageNet/pretrained/resnet50,resnet50,cSGLD,resnet50,15,2,3.0,0.3,5,1,0,,True,False,False,False,0.6732,0.3268,3.0,2.9999992847442627,3.000000476837158,,,0.928,0.0,1.0,0.928,2500,1884.5601773960516
ImageNet/pretrained/resnet50,resnet50,cSGLD,resnet50,15,2,3.0,0.3,6,1,0,,True,False,False,False,0.5988,0.4012,3.0,2.9999992847442627,3.000000476837158,,,0.928,0.0,1.0,0.928,2500,1884.5601773960516
ImageNet/pretrained/resnet50,resnet50,cSGLD,resnet50,15,2,3.0,0.3,7,1,0,,True,False,False,False,0.4864,0.5136000000000001,3.0,2.9999992847442627,3.000000476837158,,,0.928,0.0,1.0,0.928,2500,1884.5601773960516
ImageNet/pretrained/resnet50,resnet50,cSGLD,resnet50,15,2,3.0,0.3,8,1,0,,True,False,False,False,0.4332,0.5668,3.0,2.9999992847442627,3.000000476837158,,,0.928,0.0,1.0,0.928,2500,1884.5601773960516
ImageNet/pretrained/resnet50,resnet50,cSGLD,resnet50,15,2,3.0,0.3,9,1,0,,True,False,False,False,0.398,0.602,3.0,2.9999992847442627,3.000000476837158,,,0.928,0.0,1.0,0.928,2500,1884.5601773960516
ImageNet/pretrained/resnet50,resnet50,cSGLD,resnet50,15,2,3.0,0.3,10,1,0,,True,False,False,False,0.3712,0.6288,3.0,2.9999992847442627,3.000000476837158,,,0.928,0.0,1.0,0.928,2500,1884.5601773960516
ImageNet/pretrained/resnet50,resnet50,cSGLD,resnet50,15,2,3.0,0.3,11,1,0,,True,False,False,False,0.3364,0.6636,3.0,2.9999992847442627,3.000000476837158,,,0.928,0.0,1.0,0.928,2500,1884.5601773960516
