model_target,arch_target,surrogate_type,surrogate_archs,surrogate_size_ensembles,norm_type,norm_max,norm_step,n_iter,n_ensemble,n_random_init,momentum,shuffle,ghost,input_diversity,translation_invariant,adv_fail_rate,adv_sucess_rate,adv_norm_mean,adv_norm_min,adv_norm_max,limit_samples_cycle,limit_cycles,surrogate_acc_original_ex,surrogate_acc_adv_ex,target_acc_original_ex,acc_original_ex,nb_adv,time
ImageNet/pretrained/resnet50,resnet50,dnn,resnet50,1,2,3.0,0.3,50,1,0,,True,False,False,False,0.3448,0.6552,2.9213201999664307,0.013034236617386341,3.0000007152557373,,1,0.923,0.0016,1.0,0.923,5000,737.4199849357828
ImageNet/pretrained/resnet50,resnet50,dnn,resnet50,1,inf,0.01568,0.001568,50,1,0,,True,False,False,False,0.4206,0.5794,0.015680013224482536,0.01568000763654709,0.015680015087127686,,1,0.923,0.0,1.0,0.923,5000,738.5927348667756
ImageNet/pretrained/resnet50,resnet50,dnn,resnet50,2,2,3.0,0.3,50,1,0,,True,False,False,False,0.1866,0.8134,2.8943026065826416,0.007637537084519863,3.0000007152557373,,2,0.9406,0.0006,1.0,0.9406,5000,737.3678062856197
ImageNet/pretrained/resnet50,resnet50,dnn,resnet50,2,inf,0.01568,0.001568,50,1,0,,True,False,False,False,0.25,0.75,0.015680013224482536,0.01568000763654709,0.015680015087127686,,2,0.9406,0.0,1.0,0.9406,5000,737.9149797474965
ImageNet/pretrained/resnet50,resnet50,dnn,resnet50,3,2,3.0,0.3,50,1,0,,True,False,False,False,0.1054,0.8946000000000001,2.877227544784546,0.029295025393366814,3.0000007152557373,,3,0.949,0.0006,1.0,0.949,5000,738.2714754929766
ImageNet/pretrained/resnet50,resnet50,dnn,resnet50,3,inf,0.01568,0.001568,50,1,0,,True,False,False,False,0.1512,0.8488,0.015680013224482536,0.01568000763654709,0.015680015087127686,,3,0.949,0.0,1.0,0.949,5000,738.0626060543582
ImageNet/pretrained/resnet50,resnet50,dnn,resnet50,4,2,3.0,0.3,50,1,0,,True,False,False,False,0.0754,0.9246,2.864483594894409,0.030535077676177025,3.0000007152557373,,4,0.9538,0.0006,1.0,0.9538,5000,735.2562926420942
ImageNet/pretrained/resnet50,resnet50,dnn,resnet50,4,inf,0.01568,0.001568,50,1,0,,True,False,False,False,0.0976,0.9024,0.015680013224482536,0.01568000763654709,0.015680015087127686,,4,0.9538,0.0006,1.0,0.9538,5000,735.4514652090147
ImageNet/pretrained/resnet50,resnet50,dnn,resnet50,5,2,3.0,0.3,50,1,0,,True,False,False,False,0.0488,0.9512,2.8556971549987793,0.025445453822612762,3.0000007152557373,,5,0.957,0.0012,1.0,0.957,5000,735.1721275858581
ImageNet/pretrained/resnet50,resnet50,dnn,resnet50,5,inf,0.01568,0.001568,50,1,0,,True,False,False,False,0.0658,0.9342,0.015680013224482536,0.01568000763654709,0.015680015087127686,,5,0.957,0.0008,1.0,0.957,5000,735.0656936038285
ImageNet/pretrained/resnet50,resnet50,dnn,resnet50,6,2,3.0,0.3,50,1,0,,True,False,False,False,0.0368,0.9632000000000001,2.850069046020508,0.023334477096796036,3.0000007152557373,,6,0.9598,0.0012,1.0,0.9598,5000,735.9889388233423
ImageNet/pretrained/resnet50,resnet50,dnn,resnet50,6,inf,0.01568,0.001568,50,1,0,,True,False,False,False,0.0508,0.9492,0.015680013224482536,0.01568000763654709,0.015680015087127686,,6,0.9598,0.0012,1.0,0.9598,5000,736.0934591041878
ImageNet/pretrained/resnet50,resnet50,dnn,resnet50,7,2,3.0,0.3,50,1,0,,True,False,False,False,0.0272,0.9728,2.8460941314697266,0.0591278076171875,3.000000476837158,,7,0.9596,0.0014,1.0,0.9596,5000,735.9026011265814
ImageNet/pretrained/resnet50,resnet50,dnn,resnet50,7,inf,0.01568,0.001568,50,1,0,,True,False,False,False,0.0366,0.9634,0.015680013224482536,0.01568000763654709,0.015680015087127686,,7,0.9596,0.0008,1.0,0.9596,5000,735.3661251766607
ImageNet/pretrained/resnet50,resnet50,dnn,resnet50,8,2,3.0,0.3,50,1,0,,True,False,False,False,0.0244,0.9756,2.839370012283325,1.3716992139816284,3.0000007152557373,,8,0.961,0.0016,1.0,0.961,5000,735.2254041675478
ImageNet/pretrained/resnet50,resnet50,dnn,resnet50,8,inf,0.01568,0.001568,50,1,0,,True,False,False,False,0.0326,0.9674,0.015680013224482536,0.01568000763654709,0.015680015087127686,,8,0.961,0.0016,1.0,0.961,5000,735.5268435329199
ImageNet/pretrained/resnet50,resnet50,dnn,resnet50,9,2,3.0,0.3,50,1,0,,True,False,False,False,0.021,0.979,2.836905002593994,1.1723545789718628,3.000000476837158,,9,0.9616,0.0016,1.0,0.9616,5000,734.6133972518146
ImageNet/pretrained/resnet50,resnet50,dnn,resnet50,9,inf,0.01568,0.001568,50,1,0,,True,False,False,False,0.029,0.971,0.015680013224482536,0.01568000763654709,0.015680015087127686,,9,0.9616,0.0014,1.0,0.9616,5000,736.2676884569228
ImageNet/pretrained/resnet50,resnet50,dnn,resnet50,10,2,3.0,0.3,50,1,0,,True,False,False,False,0.021,0.979,2.8367321491241455,0.9981111288070679,3.0000007152557373,,10,0.961,0.0026,1.0,0.961,5000,734.8138991454616
ImageNet/pretrained/resnet50,resnet50,dnn,resnet50,10,inf,0.01568,0.001568,50,1,0,,True,False,False,False,0.0264,0.9736,0.015680013224482536,0.01568000763654709,0.015680015087127686,,10,0.961,0.0018,1.0,0.961,5000,735.7754878625274
ImageNet/pretrained/resnet50,resnet50,dnn,resnet50,11,2,3.0,0.3,50,1,0,,True,False,False,False,0.0186,0.9814,2.833674907684326,0.9824538826942444,3.000000476837158,,11,0.9616,0.0026,1.0,0.9616,5000,735.1236700611189
ImageNet/pretrained/resnet50,resnet50,dnn,resnet50,11,inf,0.01568,0.001568,50,1,0,,True,False,False,False,0.0232,0.9768,0.015680013224482536,0.01568000763654709,0.015680015087127686,,11,0.9616,0.0024,1.0,0.9616,5000,736.2356300354004
ImageNet/pretrained/resnet50,resnet50,dnn,resnet50,12,2,3.0,0.3,50,1,0,,True,False,False,False,0.0174,0.9826,2.8316123485565186,0.9779451489448547,3.0000007152557373,,12,0.9614,0.0026,1.0,0.9614,5000,736.8412405718118
ImageNet/pretrained/resnet50,resnet50,dnn,resnet50,12,inf,0.01568,0.001568,50,1,0,,True,False,False,False,0.0194,0.9806,0.015680013224482536,0.01568000763654709,0.015680015087127686,,12,0.9614,0.0022,1.0,0.9614,5000,736.5823374856263
ImageNet/pretrained/resnet50,resnet50,dnn,resnet50,13,2,3.0,0.3,50,1,0,,True,False,False,False,0.0144,0.9856,2.832744836807251,0.7931419014930725,3.0000007152557373,,13,0.961,0.003,1.0,0.961,5000,737.018931617029
ImageNet/pretrained/resnet50,resnet50,dnn,resnet50,13,inf,0.01568,0.001568,50,1,0,,True,False,False,False,0.0178,0.9822,0.015680013224482536,0.01568000763654709,0.015680015087127686,,13,0.961,0.0022,1.0,0.961,5000,736.3197037391365
ImageNet/pretrained/resnet50,resnet50,dnn,resnet50,14,2,3.0,0.3,50,1,0,,True,False,False,False,0.0142,0.9858,2.831796884536743,0.7939114570617676,3.0000007152557373,,14,0.96,0.0032,1.0,0.96,5000,736.2232630429789
ImageNet/pretrained/resnet50,resnet50,dnn,resnet50,14,inf,0.01568,0.001568,50,1,0,,True,False,False,False,0.0184,0.9816,0.015680013224482536,0.01568000763654709,0.015680015087127686,,14,0.96,0.0028,1.0,0.96,5000,736.616047215648
ImageNet/pretrained/resnet50,resnet50,dnn,resnet50,15,2,3.0,0.3,50,1,0,,True,False,False,False,0.0138,0.9862,2.8324129581451416,0.7933796644210815,3.000000476837158,,15,0.9612,0.003,1.0,0.9612,5000,736.3031490640715
ImageNet/pretrained/resnet50,resnet50,dnn,resnet50,15,inf,0.01568,0.001568,50,1,0,,True,False,False,False,0.0154,0.9846,0.015680013224482536,0.01568000763654709,0.015680015087127686,,15,0.9612,0.0026,1.0,0.9612,5000,736.6954268375412
ImageNet/pretrained/resnet50,resnet50,dnn,resnet50,1,2,3.0,0.3,50,1,0,0.9,True,False,False,False,0.386,0.614,3.0,2.9999992847442627,3.0000007152557373,,1,0.923,0.0002,1.0,0.923,5000,739.3005794137716
ImageNet/pretrained/resnet50,resnet50,dnn,resnet50,1,inf,0.01568,0.001568,50,1,0,0.9,True,False,False,False,0.3654,0.6346,0.015680013224482536,0.01568000763654709,0.015680015087127686,,1,0.923,0.0002,1.0,0.923,5000,739.861386436969
ImageNet/pretrained/resnet50,resnet50,dnn,resnet50,1,2,3.0,3.0,1,1,0,,True,False,False,False,0.6276,0.37239999999999995,2.952990770339966,0.02325187437236309,3.000000238418579,,1,0.923,0.1288,1.0,0.923,5000,25.660619736649096
ImageNet/pretrained/resnet50,resnet50,dnn,resnet50,1,inf,0.01568,0.01568,1,1,0,,True,False,False,False,0.5622,0.43779999999999997,0.015680013224482536,0.01568000763654709,0.015680015087127686,,1,0.923,0.1032,1.0,0.923,5000,25.388812420889735
ImageNet/pretrained/resnet50,resnet50,dnn,resnet50,2,2,3.0,0.3,50,1,0,0.9,True,False,False,False,0.2208,0.7792,3.0,2.9999992847442627,3.0000007152557373,,2,0.9406,0.0,1.0,0.9406,5000,739.8735826956108
ImageNet/pretrained/resnet50,resnet50,dnn,resnet50,2,inf,0.01568,0.001568,50,1,0,0.9,True,False,False,False,0.1978,0.8022,0.015680013224482536,0.01568000763654709,0.015680015087127686,,2,0.9406,0.0,1.0,0.9406,5000,740.1871493905783
ImageNet/pretrained/resnet50,resnet50,dnn,resnet50,2,2,3.0,3.0,1,2,0,,True,False,False,False,0.541,0.45899999999999996,2.9529783725738525,0.004128030501306057,3.000000238418579,,2,0.9406,0.169,1.0,0.9406,5000,46.951736201532185
ImageNet/pretrained/resnet50,resnet50,dnn,resnet50,2,inf,0.01568,0.01568,1,2,0,,True,False,False,False,0.4682,0.5318,0.015680013224482536,0.01568000763654709,0.015680015087127686,,2,0.9406,0.1394,1.0,0.9406,5000,47.06677290983498
ImageNet/pretrained/resnet50,resnet50,dnn,resnet50,3,2,3.0,0.3,50,1,0,0.9,True,False,False,False,0.125,0.875,3.0,2.9999992847442627,3.0000007152557373,,3,0.949,0.0,1.0,0.949,5000,739.1062101554126
ImageNet/pretrained/resnet50,resnet50,dnn,resnet50,3,inf,0.01568,0.001568,50,1,0,0.9,True,False,False,False,0.1146,0.8854,0.015680013224482536,0.01568000763654709,0.015680015087127686,,3,0.949,0.0,1.0,0.949,5000,738.6558388639241
ImageNet/pretrained/resnet50,resnet50,dnn,resnet50,3,2,3.0,3.0,1,3,0,,True,False,False,False,0.4822,0.5178,2.9524331092834473,0.009606018662452698,3.000000238418579,,3,0.949,0.1852,1.0,0.949,5000,68.51065561547875
ImageNet/pretrained/resnet50,resnet50,dnn,resnet50,3,inf,0.01568,0.01568,1,3,0,,True,False,False,False,0.4072,0.5928,0.015680013224482536,0.01568000763654709,0.015680015087127686,,3,0.949,0.1452,1.0,0.949,5000,68.38608716707677
ImageNet/pretrained/resnet50,resnet50,dnn,resnet50,4,2,3.0,0.3,50,1,0,0.9,True,False,False,False,0.0812,0.9188000000000001,3.0,2.9999992847442627,3.0000007152557373,,4,0.9538,0.0002,1.0,0.9538,5000,738.4016559068114
ImageNet/pretrained/resnet50,resnet50,dnn,resnet50,4,inf,0.01568,0.001568,50,1,0,0.9,True,False,False,False,0.0678,0.9322,0.015680013224482536,0.01568000763654709,0.015680015087127686,,4,0.9538,0.0,1.0,0.9538,5000,738.0221151728183
ImageNet/pretrained/resnet50,resnet50,dnn,resnet50,4,2,3.0,3.0,1,4,0,,True,False,False,False,0.451,0.5489999999999999,2.9518582820892334,0.012860584072768688,3.000000238418579,,4,0.9538,0.197,1.0,0.9538,5000,87.0152945658192
ImageNet/pretrained/resnet50,resnet50,dnn,resnet50,4,inf,0.01568,0.01568,1,4,0,,True,False,False,False,0.371,0.629,0.015680013224482536,0.01568000763654709,0.015680015087127686,,4,0.9538,0.1572,1.0,0.9538,5000,89.38171592541039
ImageNet/pretrained/resnet50,resnet50,dnn,resnet50,5,2,3.0,0.3,50,1,0,0.9,True,False,False,False,0.0526,0.9474,3.0,2.9999992847442627,3.0000007152557373,,5,0.957,0.0,1.0,0.957,5000,737.95486736577
ImageNet/pretrained/resnet50,resnet50,dnn,resnet50,5,inf,0.01568,0.001568,50,1,0,0.9,True,False,False,False,0.0466,0.9534,0.015680013224482536,0.01568000763654709,0.015680015087127686,,5,0.957,0.0,1.0,0.957,5000,739.0214790180326
ImageNet/pretrained/resnet50,resnet50,dnn,resnet50,5,2,3.0,3.0,1,5,0,,True,False,False,False,0.4196,0.5804,2.9513370990753174,0.00854645948857069,3.0,,5,0.957,0.199,1.0,0.957,5000,108.47911183349788
ImageNet/pretrained/resnet50,resnet50,dnn,resnet50,5,inf,0.01568,0.01568,1,5,0,,True,False,False,False,0.3468,0.6532,0.015680013224482536,0.01568000763654709,0.015680015087127686,,5,0.957,0.1542,1.0,0.957,5000,106.63376215100288
ImageNet/pretrained/resnet50,resnet50,dnn,resnet50,6,2,3.0,0.3,50,1,0,0.9,True,False,False,False,0.0374,0.9626,3.0,2.9999992847442627,3.0000007152557373,,6,0.9598,0.0004,1.0,0.9598,5000,739.9801171710715
ImageNet/pretrained/resnet50,resnet50,dnn,resnet50,6,inf,0.01568,0.001568,50,1,0,0.9,True,False,False,False,0.0294,0.9706,0.015680013224482536,0.01568000763654709,0.015680015087127686,,6,0.9598,0.0002,1.0,0.9598,5000,739.4509683661163
ImageNet/pretrained/resnet50,resnet50,dnn,resnet50,6,2,3.0,3.0,1,6,0,,True,False,False,False,0.3994,0.6006,2.9511897563934326,0.008805039338767529,3.0,,6,0.9598,0.2032,1.0,0.9598,5000,124.01719248387963
ImageNet/pretrained/resnet50,resnet50,dnn,resnet50,6,inf,0.01568,0.01568,1,6,0,,True,False,False,False,0.3252,0.6748000000000001,0.015680013224482536,0.01568000763654709,0.015680015087127686,,6,0.9598,0.1564,1.0,0.9598,5000,124.9033955335617
ImageNet/pretrained/resnet50,resnet50,dnn,resnet50,7,2,3.0,0.3,50,1,0,0.9,True,False,False,False,0.0272,0.9728,3.0,2.9999992847442627,3.0000007152557373,,7,0.9596,0.0004,1.0,0.9596,5000,738.5229773093015
ImageNet/pretrained/resnet50,resnet50,dnn,resnet50,7,inf,0.01568,0.001568,50,1,0,0.9,True,False,False,False,0.02,0.98,0.015680013224482536,0.01568000763654709,0.015680015087127686,,7,0.9596,0.0002,1.0,0.9596,5000,738.8069448694587
ImageNet/pretrained/resnet50,resnet50,dnn,resnet50,7,2,3.0,3.0,1,7,0,,True,False,False,False,0.3826,0.6174,2.951094150543213,0.014264310710132122,3.0,,7,0.9596,0.2044,1.0,0.9596,5000,144.3696464644745
ImageNet/pretrained/resnet50,resnet50,dnn,resnet50,7,inf,0.01568,0.01568,1,7,0,,True,False,False,False,0.3106,0.6894,0.015680013224482536,0.01568000763654709,0.015680015087127686,,7,0.9596,0.1582,1.0,0.9596,5000,143.8959250897169
ImageNet/pretrained/resnet50,resnet50,dnn,resnet50,8,2,3.0,0.3,50,1,0,0.9,True,False,False,False,0.0218,0.9782,3.0,2.9999992847442627,3.0000007152557373,,8,0.961,0.0006,1.0,0.961,5000,737.9945059632882
ImageNet/pretrained/resnet50,resnet50,dnn,resnet50,8,inf,0.01568,0.001568,50,1,0,0.9,True,False,False,False,0.017,0.983,0.015680013224482536,0.01568000763654709,0.015680015087127686,,8,0.961,0.0002,1.0,0.961,5000,738.7118190908805
ImageNet/pretrained/resnet50,resnet50,dnn,resnet50,8,2,3.0,3.0,1,8,0,,True,False,False,False,0.3704,0.6295999999999999,2.9509522914886475,0.02381814830005169,3.0,,8,0.961,0.208,1.0,0.961,5000,165.97266317438334
ImageNet/pretrained/resnet50,resnet50,dnn,resnet50,8,inf,0.01568,0.01568,1,8,0,,True,False,False,False,0.2962,0.7038,0.015680013224482536,0.01568000763654709,0.015680015087127686,,8,0.961,0.1574,1.0,0.961,5000,164.91860754415393
ImageNet/pretrained/resnet50,resnet50,dnn,resnet50,9,2,3.0,0.3,50,1,0,0.9,True,False,False,False,0.0176,0.9824,3.0,2.9999992847442627,3.0000007152557373,,9,0.9616,0.001,1.0,0.9616,5000,738.3627613512799
ImageNet/pretrained/resnet50,resnet50,dnn,resnet50,9,inf,0.01568,0.001568,50,1,0,0.9,True,False,False,False,0.0146,0.9854,0.015680013224482536,0.01568000763654709,0.015680015087127686,,9,0.9616,0.0002,1.0,0.9616,5000,739.2622951036319
ImageNet/pretrained/resnet50,resnet50,dnn,resnet50,9,2,3.0,3.0,1,9,0,,True,False,False,False,0.3616,0.6384000000000001,2.9508094787597656,0.019167358055710793,2.999999761581421,,9,0.9616,0.2116,1.0,0.9616,5000,191.08187080547214
ImageNet/pretrained/resnet50,resnet50,dnn,resnet50,9,inf,0.01568,0.01568,1,9,0,,True,False,False,False,0.285,0.7150000000000001,0.015680013224482536,0.01568000763654709,0.015680015087127686,,9,0.9616,0.1598,1.0,0.9616,5000,185.4831229839474
ImageNet/pretrained/resnet50,resnet50,dnn,resnet50,10,2,3.0,0.3,50,1,0,0.9,True,False,False,False,0.0164,0.9836,3.0,2.9999992847442627,3.0000007152557373,,10,0.961,0.001,1.0,0.961,5000,739.8967892201617
ImageNet/pretrained/resnet50,resnet50,dnn,resnet50,10,inf,0.01568,0.001568,50,1,0,0.9,True,False,False,False,0.0126,0.9874,0.015680013224482536,0.01568000763654709,0.015680015087127686,,10,0.961,0.0002,1.0,0.961,5000,739.4882567198947
ImageNet/pretrained/resnet50,resnet50,dnn,resnet50,10,2,3.0,3.0,1,10,0,,True,False,False,False,0.352,0.648,2.9503395557403564,0.019266920164227486,3.000000238418579,,10,0.961,0.2156,1.0,0.961,5000,205.34401435498148
ImageNet/pretrained/resnet50,resnet50,dnn,resnet50,10,inf,0.01568,0.01568,1,10,0,,True,False,False,False,0.2726,0.7274,0.015680013224482536,0.01568000763654709,0.015680015087127686,,10,0.961,0.1564,1.0,0.961,5000,209.26207810547203
ImageNet/pretrained/resnet50,resnet50,dnn,resnet50,11,2,3.0,0.3,50,1,0,0.9,True,False,False,False,0.0142,0.9858,3.0,2.9999992847442627,3.0000007152557373,,11,0.9616,0.001,1.0,0.9616,5000,738.3369383802637
ImageNet/pretrained/resnet50,resnet50,dnn,resnet50,11,inf,0.01568,0.001568,50,1,0,0.9,True,False,False,False,0.0112,0.9888,0.015680013224482536,0.01568000763654709,0.015680015087127686,,11,0.9616,0.0002,1.0,0.9616,5000,738.8882953925058
ImageNet/pretrained/resnet50,resnet50,dnn,resnet50,11,2,3.0,3.0,1,11,0,,True,False,False,False,0.344,0.656,2.950298547744751,0.017234329134225845,2.999999761581421,,11,0.9616,0.2122,1.0,0.9616,5000,224.76365533284843
ImageNet/pretrained/resnet50,resnet50,dnn,resnet50,11,inf,0.01568,0.01568,1,11,0,,True,False,False,False,0.2602,0.7398,0.015680013224482536,0.01568000763654709,0.015680015087127686,,11,0.9616,0.1562,1.0,0.9616,5000,226.11775833647698
ImageNet/pretrained/resnet50,resnet50,dnn,resnet50,12,2,3.0,0.3,50,1,0,0.9,True,False,False,False,0.0128,0.9872,3.0,2.9999992847442627,3.0000007152557373,,12,0.9614,0.0008,1.0,0.9614,5000,739.2382079344243
ImageNet/pretrained/resnet50,resnet50,dnn,resnet50,12,inf,0.01568,0.001568,50,1,0,0.9,True,False,False,False,0.0086,0.9914,0.015680013224482536,0.01568000763654709,0.015680015087127686,,12,0.9614,0.0002,1.0,0.9614,5000,739.5134244002402
ImageNet/pretrained/resnet50,resnet50,dnn,resnet50,12,2,3.0,3.0,1,12,0,,True,False,False,False,0.3378,0.6622,2.9497992992401123,0.01631491631269455,2.999999761581421,,12,0.9614,0.2142,1.0,0.9614,5000,245.30391940567642
ImageNet/pretrained/resnet50,resnet50,dnn,resnet50,12,inf,0.01568,0.01568,1,12,0,,True,False,False,False,0.249,0.751,0.015680013224482536,0.01568000763654709,0.015680015087127686,,12,0.9614,0.1562,1.0,0.9614,5000,245.6269158218056
