model_target,arch_target,surrogate_type,surrogate_archs,surrogate_size_ensembles,norm_type,norm_max,norm_step,n_iter,n_ensemble,n_random_init,momentum,shuffle,ghost,input_diversity,translation_invariant,adv_fail_rate,adv_sucess_rate,adv_norm_mean,adv_norm_min,adv_norm_max,limit_samples_cycle,limit_cycles,surrogate_acc_original_ex,surrogate_acc_adv_ex,target_acc_original_ex,acc_original_ex,nb_adv,time
ImageNet/pretrained/resnet50,resnet50,cSGLD,resnet50,15,2,3.0,0.3,50,1,0,,True,False,False,False,0.0506,0.9494,2.9305226802825928,1.257812261581421,3.0000007152557373,,,0.9288,0.0004,1.0,0.9288,5000,734.1641265042126
ImageNet/pretrained/resnet50,resnet50,cSGLD,resnet50,15,inf,0.01568,0.001568,50,1,0,,True,False,False,False,0.0918,0.9082,0.015680013224482536,0.01568000763654709,0.015680015087127686,,,0.9288,0.0002,1.0,0.9288,5000,735.124801770784
ImageNet/pretrained/resnet50,resnet50,cSGLD,resnet50,15,2,3.0,0.3,50,1,0,0.9,True,False,False,False,0.0574,0.9426,3.0,2.9999992847442627,3.0000007152557373,,,0.9288,0.0,1.0,0.9288,5000,736.4091620892286
ImageNet/pretrained/resnet50,resnet50,cSGLD,resnet50,15,inf,0.01568,0.001568,50,1,0,0.9,True,False,False,False,0.0596,0.9404,0.015680013224482536,0.01568000763654709,0.015680015087127686,,,0.9288,0.0,1.0,0.9288,5000,736.1724029621109
ImageNet/pretrained/resnet50,resnet50,cSGLD,resnet50,15,2,3.0,0.3,50,1,5,,True,False,False,False,0.0802,0.9198,3.0,2.999417304992676,3.0000007152557373,,,0.9288,0.0004,1.0,0.9288,5000,4730.928205290809
ImageNet/pretrained/resnet50,resnet50,cSGLD,resnet50,15,inf,0.01568,0.001568,50,1,5,,True,False,False,False,0.111,0.889,0.015680013224482536,0.01568000763654709,0.015680015087127686,,,0.9288,0.0002,1.0,0.9288,5000,4571.097616146319
ImageNet/pretrained/resnet50,resnet50,cSGLD,resnet50,15,2,3.0,3.0,1,15,0,,True,False,False,False,0.4134,0.5866,2.9556939601898193,0.10247929394245148,3.0,,,0.9288,0.1276,1.0,0.9288,5000,294.50185003504157
ImageNet/pretrained/resnet50,resnet50,cSGLD,resnet50,15,inf,0.01568,0.01568,1,15,0,,True,False,False,False,0.3228,0.6772,0.015680013224482536,0.01568000763654709,0.015680015087127686,,,0.9288,0.0856,1.0,0.9288,5000,311.2958484739065
ImageNet/pretrained/resnet50,resnet50,cSGLD,resnet50,15,2,3.0,0.3,50,15,0,,True,False,False,False,0.048,0.952,2.9949324131011963,0.18975965678691864,3.0000007152557373,,,0.9288,0.0008,1.0,0.9288,5000,14576.069628821686
ImageNet/pretrained/resnet50,resnet50,cSGLD,resnet50,15,inf,0.01568,0.001568,50,15,0,,True,False,False,False,0.0558,0.9442,0.015680013224482536,0.01568000763654709,0.015680015087127686,,,0.9288,0.0,1.0,0.9288,5000,14635.0876221871
ImageNet/pretrained/resnet50,resnet50,cSGLD,resnet50,15,2,3.0,0.3,50,15,0,0.9,True,False,False,False,0.0508,0.9492,3.0,2.9999992847442627,3.0000007152557373,,,0.9288,0.0,1.0,0.9288,5000,14682.275969944894
ImageNet/pretrained/resnet50,resnet50,cSGLD,resnet50,15,inf,0.01568,0.001568,50,15,0,0.9,True,False,False,False,0.0466,0.9534,0.015680013224482536,0.01568000763654709,0.015680015087127686,,,0.9288,0.0,1.0,0.9288,5000,14627.284926806577
ImageNet/pretrained/resnet50,resnet50,dnn,resnet50,1,2,3.0,0.3,50,1,0,,True,False,False,False,0.3448,0.6552,2.9213201999664307,0.013034236617386341,3.0000007152557373,,1,0.923,0.0016,1.0,0.923,5000,738.4195505250245
ImageNet/pretrained/resnet50,resnet50,dnn,resnet50,1,inf,0.01568,0.001568,50,1,0,,True,False,False,False,0.4206,0.5794,0.015680013224482536,0.01568000763654709,0.015680015087127686,,1,0.923,0.0,1.0,0.923,5000,738.8278631111607
ImageNet/pretrained/resnet50,resnet50,dnn,resnet50,1,2,3.0,0.3,50,1,0,0.9,True,False,False,False,0.386,0.614,3.0,2.9999992847442627,3.0000007152557373,,1,0.923,0.0002,1.0,0.923,5000,740.2861439604312
ImageNet/pretrained/resnet50,resnet50,dnn,resnet50,1,inf,0.01568,0.001568,50,1,0,0.9,True,False,False,False,0.3654,0.6346,0.015680013224482536,0.01568000763654709,0.015680015087127686,,1,0.923,0.0002,1.0,0.923,5000,740.2522599184886
ImageNet/pretrained/resnet50,resnet50,dnn,resnet50,1,2,3.0,0.3,50,1,5,,True,False,False,False,0.4194,0.5806,2.999999523162842,2.9978103637695312,3.0000007152557373,,1,0.923,0.001,1.0,0.923,5000,3959.7643063925207
ImageNet/pretrained/resnet50,resnet50,dnn,resnet50,1,inf,0.01568,0.001568,50,1,5,,True,False,False,False,0.459,0.5409999999999999,0.015680013224482536,0.01568000763654709,0.015680015087127686,,1,0.923,0.0,1.0,0.923,5000,3793.785828004591
ImageNet/pretrained/resnet50,resnet50,dnn,resnet50,1,2,3.0,3.0,1,1,0,,True,False,False,False,0.6276,0.37239999999999995,2.952990770339966,0.02325187437236309,3.000000238418579,,1,0.923,0.1288,1.0,0.923,5000,25.76859637349844
ImageNet/pretrained/resnet50,resnet50,dnn,resnet50,1,inf,0.01568,0.01568,1,1,0,,True,False,False,False,0.5622,0.43779999999999997,0.015680013224482536,0.01568000763654709,0.015680015087127686,,1,0.923,0.1032,1.0,0.923,5000,25.061457433737814
ImageNet/pretrained/resnet50,resnet50,dnn,resnet50,1,2,3.0,0.3,50,1,0,,True,False,False,False,0.3468,0.6532,2.9229671955108643,0.0650242492556572,3.0000007152557373,,1,0.923,0.001,1.0,0.923,5000,990.5868979981169
ImageNet/pretrained/resnet50,resnet50,dnn,resnet50,1,inf,0.01568,0.001568,50,1,0,,True,False,False,False,0.4222,0.5778,0.015680013224482536,0.01568000763654709,0.015680015087127686,,1,0.923,0.0,1.0,0.923,5000,990.367830388248
ImageNet/pretrained/resnet50,resnet50,dnn,resnet50,1,2,3.0,0.3,50,1,0,0.9,True,False,False,False,0.3844,0.6155999999999999,3.0,2.9999992847442627,3.0000007152557373,,1,0.923,0.0002,1.0,0.923,5000,983.341943860054
ImageNet/pretrained/resnet50,resnet50,dnn,resnet50,1,inf,0.01568,0.001568,50,1,0,0.9,True,False,False,False,0.359,0.641,0.015680013224482536,0.01568000763654709,0.015680015087127686,,1,0.923,0.0002,1.0,0.923,5000,972.5144869154319
ImageNet/pretrained/resnet50,resnet50,cSGLD,resnet50,15,2,3.0,0.3,50,15,5,,True,False,False,False,0.0574,0.9426,2.9999308586120605,2.794527053833008,3.0000007152557373,,,0.9288,0.0008,1.0,0.9288,5000,73956.58530289587
ImageNet/pretrained/resnet50,resnet50,cSGLD,resnet50,15,inf,0.01568,0.001568,50,15,5,,True,False,False,False,0.0636,0.9364,0.015680013224482536,0.01568000763654709,0.015680015087127686,,,0.9288,0.0,1.0,0.9288,5000,74141.9944090154
ImageNet/pretrained/resnet50,resnet50,dnn,resnet50,1,2,3.0,0.3,50,1,5,,True,False,False,False,0.42,0.5800000000000001,3.0,2.9999992847442627,3.0000007152557373,,1,0.923,0.0006,1.0,0.923,5000,5111.319047966972
ImageNet/pretrained/resnet50,resnet50,dnn,resnet50,1,inf,0.01568,0.001568,50,1,5,,True,False,False,False,0.456,0.544,0.015680013224482536,0.01568000763654709,0.015680015087127686,,1,0.923,0.0,1.0,0.923,5000,5045.784015218727
ImageNet/pretrained/resnet50,resnet50,dnn,resnet50,2,2,3.0,0.3,50,1,0,,True,False,False,False,0.1866,0.8134,2.8943026065826416,0.007637537084519863,3.0000007152557373,,2,0.9406,0.0006,1.0,0.9406,5000,742.2881671534851
ImageNet/pretrained/resnet50,resnet50,dnn,resnet50,2,inf,0.01568,0.001568,50,1,0,,True,False,False,False,0.2494,0.7505999999999999,0.015680013224482536,0.01568000763654709,0.015680015087127686,,2,0.9406,0.0,1.0,0.9406,5000,742.2803299166262
ImageNet/pretrained/resnet50,resnet50,dnn,resnet50,2,2,3.0,0.3,50,1,0,0.9,True,False,False,False,0.2158,0.7842,3.0,2.9999992847442627,3.0000007152557373,,2,0.9406,0.0,1.0,0.9406,5000,743.7647905014455
ImageNet/pretrained/resnet50,resnet50,dnn,resnet50,2,inf,0.01568,0.001568,50,1,0,0.9,True,False,False,False,0.1992,0.8008,0.015680013224482536,0.01568000763654709,0.015680015087127686,,2,0.9406,0.0,1.0,0.9406,5000,744.0169689645991
ImageNet/pretrained/resnet50,resnet50,dnn,resnet50,2,2,3.0,0.3,50,1,5,,True,False,False,False,0.2546,0.7454000000000001,3.0,2.999776601791382,3.0000007152557373,,2,0.9406,0.001,1.0,0.9406,5000,4021.616770173423
ImageNet/pretrained/resnet50,resnet50,dnn,resnet50,2,inf,0.01568,0.001568,50,1,5,,True,False,False,False,0.2874,0.7126,0.015680013224482536,0.01568000763654709,0.015680015087127686,,2,0.9406,0.0,1.0,0.9406,5000,3870.1486220806837
ImageNet/pretrained/resnet50,resnet50,dnn,resnet50,2,2,3.0,3.0,1,2,0,,True,False,False,False,0.541,0.45899999999999996,2.9529783725738525,0.004128030501306057,3.000000238418579,,2,0.9406,0.169,1.0,0.9406,5000,46.33503020182252
ImageNet/pretrained/resnet50,resnet50,dnn,resnet50,2,inf,0.01568,0.01568,1,2,0,,True,False,False,False,0.4682,0.5318,0.015680013224482536,0.01568000763654709,0.015680015087127686,,2,0.9406,0.1394,1.0,0.9406,5000,47.06225984171033
ImageNet/pretrained/resnet50,resnet50,dnn,resnet50,2,2,3.0,0.3,50,2,0,,True,False,False,False,0.1512,0.8488,2.9615988731384277,0.017804447561502457,3.0000007152557373,,2,0.9406,0.0008,1.0,0.9406,5000,2006.3708573216572
ImageNet/pretrained/resnet50,resnet50,dnn,resnet50,2,inf,0.01568,0.001568,50,2,0,,True,False,False,False,0.1916,0.8084,0.015680013224482536,0.01568000763654709,0.015680015087127686,,2,0.9406,0.0,1.0,0.9406,5000,2014.2334546232596
ImageNet/pretrained/resnet50,resnet50,dnn,resnet50,2,2,3.0,0.3,50,2,0,0.9,True,False,False,False,0.1754,0.8246,3.0,2.9999992847442627,3.0000007152557373,,2,0.9406,0.0002,1.0,0.9406,5000,2004.1167643982917
ImageNet/pretrained/resnet50,resnet50,dnn,resnet50,2,inf,0.01568,0.001568,50,2,0,0.9,True,False,False,False,0.1548,0.8452,0.015680013224482536,0.01568000763654709,0.015680015087127686,,2,0.9406,0.0002,1.0,0.9406,5000,1984.474247444421
ImageNet/pretrained/resnet50,resnet50,dnn,resnet50,2,2,3.0,0.3,50,2,5,,True,False,False,False,0.1972,0.8028,3.0,2.999830961227417,3.0000007152557373,,2,0.9406,0.0006,1.0,0.9406,5000,10165.961955416948
ImageNet/pretrained/resnet50,resnet50,dnn,resnet50,2,inf,0.01568,0.001568,50,2,5,,True,False,False,False,0.2282,0.7718,0.015680013224482536,0.01568000763654709,0.015680015087127686,,2,0.9406,0.0,1.0,0.9406,5000,10021.462974073365
ImageNet/pretrained/resnet50,resnet50,dnn,resnet50,5,2,3.0,0.3,50,1,0,,True,False,False,False,0.0504,0.9496,2.855306386947632,0.025446021929383278,3.0000007152557373,,5,0.957,0.0014,1.0,0.957,5000,741.7964535150677
ImageNet/pretrained/resnet50,resnet50,dnn,resnet50,5,inf,0.01568,0.001568,50,1,0,,True,False,False,False,0.0668,0.9332,0.015680013224482536,0.01568000763654709,0.015680015087127686,,5,0.957,0.001,1.0,0.957,5000,741.7931639123708
ImageNet/pretrained/resnet50,resnet50,dnn,resnet50,5,2,3.0,0.3,50,1,0,0.9,True,False,False,False,0.0518,0.9482,3.0,2.9999992847442627,3.0000007152557373,,5,0.957,0.0,1.0,0.957,5000,743.3119592173025
ImageNet/pretrained/resnet50,resnet50,dnn,resnet50,5,inf,0.01568,0.001568,50,1,0,0.9,True,False,False,False,0.0442,0.9558,0.015680013224482536,0.01568000763654709,0.015680015087127686,,5,0.957,0.0,1.0,0.957,5000,744.3003314184025
ImageNet/pretrained/resnet50,resnet50,dnn,resnet50,5,2,3.0,0.3,50,1,5,,True,False,False,False,0.0754,0.9246,3.0,2.999910593032837,3.0000007152557373,,5,0.957,0.0016,1.0,0.957,5000,4188.579397518188
ImageNet/pretrained/resnet50,resnet50,dnn,resnet50,5,inf,0.01568,0.001568,50,1,5,,True,False,False,False,0.0806,0.9194,0.015680013224482536,0.01568000763654709,0.015680015087127686,,5,0.957,0.001,1.0,0.957,5000,4038.2043796284124
ImageNet/pretrained/resnet50,resnet50,dnn,resnet50,5,2,3.0,3.0,1,5,0,,True,False,False,False,0.4196,0.5804,2.9513370990753174,0.00854645948857069,3.0,,5,0.957,0.199,1.0,0.957,5000,108.35198380984366
ImageNet/pretrained/resnet50,resnet50,dnn,resnet50,5,inf,0.01568,0.01568,1,5,0,,True,False,False,False,0.3468,0.6532,0.015680013224482536,0.01568000763654709,0.015680015087127686,,5,0.957,0.1542,1.0,0.957,5000,106.50096919666976
ImageNet/pretrained/resnet50,resnet50,dnn,resnet50,5,2,3.0,0.3,50,5,0,,True,False,False,False,0.0342,0.9658,2.985372304916382,0.035374194383621216,3.0000007152557373,,5,0.957,0.001,1.0,0.957,5000,5014.832532664761
ImageNet/pretrained/resnet50,resnet50,dnn,resnet50,5,inf,0.01568,0.001568,50,5,0,,True,False,False,False,0.0364,0.9636,0.015680013224482536,0.01568000763654709,0.015680015087127686,,5,0.957,0.0,1.0,0.957,5000,5148.159027502872
ImageNet/pretrained/resnet50,resnet50,dnn,resnet50,5,2,3.0,0.3,50,5,0,0.9,True,False,False,False,0.0378,0.9621999999999999,3.0,2.9999992847442627,3.0000007152557373,,5,0.957,0.0002,1.0,0.957,5000,4999.703433243558
ImageNet/pretrained/resnet50,resnet50,dnn,resnet50,5,inf,0.01568,0.001568,50,5,0,0.9,True,False,False,False,0.0276,0.9724,0.015680013224482536,0.01568000763654709,0.015680015087127686,,5,0.957,0.0002,1.0,0.957,5000,4987.1377288540825
ImageNet/pretrained/resnet50,resnet50,dnn,resnet50,5,2,3.0,0.3,50,5,5,,True,False,False,False,0.0418,0.9582,3.0,2.999730110168457,3.0000007152557373,,5,0.957,0.0012,1.0,0.957,5000,25370.51151451189
ImageNet/pretrained/resnet50,resnet50,dnn,resnet50,5,inf,0.01568,0.001568,50,5,5,,True,False,False,False,0.0422,0.9578,0.015680013224482536,0.01568000763654709,0.015680015087127686,,5,0.957,0.0,1.0,0.957,5000,25293.62371868454
ImageNet/pretrained/resnet50,resnet50,dnn,resnet50,15,2,3.0,0.3,50,15,5,,True,False,False,False,0.0072,0.9928,2.9999983310699463,2.991476535797119,3.0000007152557373,,15,0.9612,0.001,1.0,0.9612,5000,77631.0063910177
ImageNet/pretrained/resnet50,resnet50,dnn,resnet50,15,inf,0.01568,0.001568,50,15,5,,True,False,False,False,0.0054,0.9946,0.015680013224482536,0.01568000763654709,0.015680015087127686,,15,0.9612,0.0,1.0,0.9612,5000,76721.70229254104
ImageNet/pretrained/resnet50,resnet50,dnn,resnet50,15,2,3.0,0.3,50,1,0,,True,False,False,False,0.0138,0.9862,2.832172155380249,0.7938357591629028,3.0000007152557373,,15,0.9612,0.0034,1.0,0.9612,5000,738.0483944406733
ImageNet/pretrained/resnet50,resnet50,dnn,resnet50,15,inf,0.01568,0.001568,50,1,0,,True,False,False,False,0.0154,0.9846,0.015680013224482536,0.01568000763654709,0.015680015087127686,,15,0.9612,0.0026,1.0,0.9612,5000,737.8069393569604
ImageNet/pretrained/resnet50,resnet50,dnn,resnet50,15,2,3.0,0.3,50,1,0,0.9,True,False,False,False,0.0102,0.9898,3.0,2.9999992847442627,3.0000007152557373,,15,0.9612,0.0018,1.0,0.9612,5000,739.5653099631891
